,UF,CODIGO DO MUNICIPIO,NOME DO MUNICIPIO,ESPECTRO
151,AM,2313,ENVIRA,E
152,AM,98418,PRESIDENTE FIGUEIREDO,E
153,AM,2046,CAREIRO DA VÁRZEA,D
154,AM,2615,MAUÉS,D
155,AM,2356,HUMAITÁ,D
156,AM,98515,TONANTINS,D
157,AM,2631,NHAMUNDÁ,D
158,AM,2291,EIRUNEPÉ,D
159,AM,2232,CAREIRO,D
160,AM,2852,URUCARÁ,D
161,AM,2690,PARINTINS,D
162,AM,2437,ITAPIRANGA,D
163,AM,98353,IRANDUBA,D
164,AM,2135,BENJAMIN CONSTANT,D
165,AM,2755,SÃO PAULO DE OLIVENÇA,D
166,AM,2216,CARAUARI,D
167,AM,2178,BORBA,D
168,AM,98434,RIO PRETO DA EVA,D
169,AM,2534,MANACAPURU,E
170,AM,2194,CANUTAMA,D
171,AM,2895,ALVARÃES,D
172,AM,2453,JAPURÁ,D
173,AM,2771,SILVES,D
174,AM,2992,CAAPIRANGA,C
175,AM,2658,NOVA OLINDA DO NORTE,D
176,AM,2470,JURUÁ,D
177,AM,98370,ITAMARATI,D
178,AM,2917,AMATURÁ,D
179,AM,2674,NOVO ARIPUANÃ,D
180,AM,98493,UARINI,D
181,AM,98450,SÃO SEBASTIÃO DO UATUMÃ,E
182,AM,2399,IPIXUNA,D
183,AM,2097,BARCELOS,D
184,AM,2950,BERURI,D
185,AM,2054,ATALAIA DO NORTE,D
186,AP,6068,CUTIAS,D
187,AP,6050,MACAPÁ,E
188,AP,6017,AMAPÁ,E
189,AP,6033,CALÇOENE,E
190,AP,6157,SANTANA,D
191,AP,6025,PORTO GRANDE,E
192,AP,6130,LARANJAL DO JARI,C
193,AP,6114,FERREIRA GOMES,E
194,AP,6076,MAZAGÃO,E
195,AP,6173,TARTARUGALZINHO,E
196,AP,6106,SERRA DO NAVIO,E
197,AP,6092,OIAPOQUE,D
198,AP,6084,PEDRA BRANCA DO AMAPARI,E
199,AP,6041,ITAUBAL,E
200,AP,6122,VITÓRIA DO JARI,E
201,AP,6009,PRACUÚBA,E
202,BA,34355,CANSANÇÃO,D
203,BA,37257,MIGUEL CALMON,D
204,BA,35211,FORMOSA DO RIO PRETO,D
205,BA,39616,VÁRZEA DO POÇO,E
206,BA,38490,SALVADOR,D
207,BA,35238,GANDU,D
208,BA,34690,CONCEIÇÃO DO JACUÍPE,D
209,BA,38857,SÃO GONÇALO DOS CAMPOS,D
210,BA,30791,BURITIRAMA,D
211,BA,38733,SANTO ANTÔNIO DE JESUS,D
212,BA,34193,CAMPO FORMOSO,D
213,BA,38377,RIO DO ANTÔNIO,D
214,BA,37770,PARIPIRANGA,D
215,BA,35971,ITABUNA,E
216,BA,38776,SÃO DESIDÉRIO,D
217,BA,38016,PLANALTO,D
218,BA,37796,PAU BRASIL,D
219,BA,35157,FEIRA DE SANTANA,D
220,BA,33960,CABACEIRAS DO PARAGUAÇU,D
221,BA,35955,ITABERABA,D
222,BA,34878,COTEGIPE,D
223,BA,39659,VITÓRIA DA CONQUISTA,E
224,BA,33782,BOM JESUS DA SERRA,D
225,BA,33634,BARREIRAS,D
226,BA,38938,SÁTIRO DIAS,D
227,BA,34851,CORRENTINA,D
228,BA,36293,ITAPETINGA,D
229,BA,39292,TEOFILÂNDIA,D
230,BA,33030,ABARÉ,D
231,BA,35734,ILHÉUS,E
232,BA,35831,IPUPIARA,D
233,BA,37680,OUROLÂNDIA,D
234,BA,33472,AURELINO LEAL,D
235,BA,36854,LAURO DE FREITAS,E
236,BA,39594,VALENTE,D
237,BA,39632,VERA CRUZ,D
238,BA,38075,PORTO SEGURO,D
239,BA,34037,CAETITÉ,D
240,BA,39136,SIMÕES FILHO,D
241,BA,36692,JUAZEIRO,D
242,BA,34436,CASA NOVA,D
243,BA,33839,BOTUPORÃ,D
244,BA,34894,CRAVOLÂNDIA,D
245,BA,39551,UTINGA,D
246,BA,36897,LICÍNIO DE ALMEIDA,D
247,BA,38717,SANTO AMARO,D
248,BA,36790,LAJEDÃO,D
249,BA,30775,BARROCAS,D
250,BA,39217,TANQUINHO,D
251,BA,36234,ITAPARICA,D
252,BA,38032,POÇÕES,D
253,BA,34754,CONTENDAS DO SINCORÁ,D
254,BA,39837,PINTADAS,D
255,BA,33774,BOM JESUS DA LAPA,D
256,BA,38830,SÃO FRANCISCO DO CONDE,D
257,BA,35033,DOM MACEDO COSTA,D
258,BA,33812,BOQUIRA,D
259,BA,36820,LAJEDO DO TABOCAL,D
260,BA,30899,FÁTIMA,D
261,BA,34177,CAMPO ALEGRE DE LOURDES,D
262,BA,38865,SÃO JOSÉ DO JACUÍPE,D
263,BA,33014,ABAÍRA,D
264,BA,35998,ITACARÉ,D
265,BA,33316,ANTAS,D
266,BA,36439,ITORORÓ,E
267,BA,35815,IPIRÁ,D
268,BA,36919,LIVRAMENTO DE NOSSA SENHORA,D
269,BA,37117,MARACÁS,D
270,BA,36412,ITIÚBA,D
271,BA,34959,CRUZ DAS ALMAS,D
272,BA,33979,CACHOEIRA,D
273,BA,39691,WENCESLAU GUIMARÃES,D
274,BA,35173,FIRMINO ALVES,D
275,BA,39934,TEIXEIRA DE FREITAS,E
276,BA,38946,SAUBARA,D
277,BA,38539,SANTA BRÍGIDA,D
278,BA,33910,BRUMADO,E
279,BA,36013,ITAETÉ,D
280,BA,39950,VÁRZEA NOVA,D
281,BA,35750,INHAMBUPE,D
282,BA,38156,PRESIDENTE JÂNIO QUADROS,D
283,BA,30910,FILADÉLFIA,D
284,BA,30007,LUÍS EDUARDO MAGALHÃES,D
285,BA,34932,CRISTÓPOLIS,D
286,BA,35475,IBIPEBA,D
287,BA,30660,IUIU,D
288,BA,36838,LAMARÃO,D
289,BA,34452,CASTRO ALVES,D
290,BA,35335,GUANAMBI,D
291,BA,39195,TANHAÇU,E
292,BA,39012,SENHOR DO BONFIM,E
293,BA,38237,RETIROLÂNDIA,D
294,BA,36218,ITANHÉM,D
295,BA,33596,BARRA DO MENDES,D
296,BA,34150,CAMAMU,D
297,BA,34371,CARAVELAS,D
298,BA,38091,POTIRAGUÁ,D
299,BA,35696,IGAPORÃ,D
300,BA,33650,BARRO PRETO,D
301,BA,37818,PAULO AFONSO,E
302,BA,39390,UAUÁ,E
303,BA,34495,CATU,D
304,BA,35254,GENTIO DO OURO,D
305,BA,35777,IPECAETÁ,D
306,BA,36633,JEREMOABO,D
307,BA,39519,URANDI,D
308,BA,35530,IBIQUERA,D
309,BA,39071,SERRA PRETA,D
